OBJECTID,ROCK_NAME,ROCK_TYPE,AQ_NAME,AQ_CODE,Shape_Leng,Shape_Area,observed
2717,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.02491312542,2.749277e-05,
4525,Carbonate-rock aquifers,400,Puerto Rico North Coast Limestone aquifer system,419,1.44852251951,0.01836626763,
2749,,999,Other rocks,999,0.17879177323,0.00234284531,
2750,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.02482438512,4.349793e-05,
2298,,999,Other rocks,999,0.01578563689,1.280565e-05,
2751,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.02224600581,3.346404e-05,
2332,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.49831208552,0.00360496693,
2355,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,5.16772486111,0.08200945903,
2467,Sandstone and carbonate-rock aquifers,500,Valley and Ridge carbonate-rock aquifers,505,9.68213949667,0.33153455576,
3126,,999,Other rocks,999,0.09167014103,0.00055537453,
2767,,999,Other rocks,999,0.1707108559,0.0021978388,
3330,,999,Other rocks,999,0.1286608251,0.00099198964,
2524,Semiconsolidated sand aquifers,200,Mississippi embayment aquifer system,203,3.79078653618,0.18706538141,
2768,Carbonate-rock aquifers,400,Basin and Range carbonate-rock aquifers,401,0.15382610269,0.00164324073,
2769,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.01983648063,2.702625e-05,
4494,Igneous and metamorphic-rock aquifers,600,Hawaiian Sedimentary deposit aquifers,609,0.01023119919,6.57203e-06,
1066,,999,Other rocks,999,0.03433381452,6.05364e-05,
267,Igneous and metamorphic-rock aquifers,600,Pacific Northwest basaltic-rock aquifers,610,0.50982246273,0.01084770488,
3283,,999,Other rocks,999,0.13678704926,0.00109001066,
3329,,999,Other rocks,999,0.0792790836,0.00043424311,
3331,,999,Other rocks,999,0.16832139201,0.00147728899,
430,,999,Other rocks,999,0.03431569909,6.746233e-05,
431,,999,Other rocks,999,0.0158873791,1.619802e-05,
3374,,999,Other rocks,999,0.07319089944,0.00037526182,
2771,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.02622548066,4.705891e-05,
2772,,999,Other rocks,999,0.13006675648,0.00100900521,
1087,Carbonate-rock aquifers,400,New York and New England carbonate-rock aquifers,416,0.02837808984,4.718141e-05,
269,Sandstone aquifers,300,Cambrian-Ordovician aquifer system,312,0.07090193206,0.00034789954,
2774,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.02153803572,3.35602e-05,
2787,,999,Other rocks,999,0.19783258863,0.00194628562,
2859,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.01663881478,1.816652e-05,
2842,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.02377024894,3.673982e-05,
2860,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.01293434049,9.78422e-06,
2892,,999,Other rocks,999,0.15213049383,0.00170681825,
316,Igneous and metamorphic-rock aquifers,600,Pacific Northwest basaltic-rock aquifers,610,0.25142812999,0.00280645808,
332,,999,Other rocks,999,0.02230894439,3.149147e-05,
263,Sandstone aquifers,300,Cambrian-Ordovician aquifer system,312,0.12190874082,0.00063389619,
2933,Carbonate-rock aquifers,400,Castle Hayne aquifer,418,0.03107443216,6.487451e-05,
264,Unconsolidated sand and gravel aquifers,100,Columbia Plateau basin-fill aquifers,116,0.33606616709,0.00314777131,
2893,,999,Other rocks,999,0.2018809875,0.00294126324,
2919,,999,Other rocks,999,0.18916016312,0.00175172237,
3676,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02254293387,3.552199e-05,
2920,,999,Other rocks,999,0.16648004191,0.00167070981,
2732,Semiconsolidated sand aquifers,200,Northern Atlantic Coastal Plain aquifer system,205,0.02336820983,3.313935e-05,
2137,Carbonate-rock aquifers,400,Basin and Range carbonate-rock aquifers,401,0.11162910055,0.00083822445,
1520,Sandstone aquifers,300,Pennsylvanian aquifers,310,4.30559015914,0.14332522024,
432,Unconsolidated sand and gravel aquifers,100,Pacific Northwest basin-fill aquifers,104,0.01265029344,7.4855e-06,
3385,Unconsolidated sand and gravel aquifers,100,Basin and Range basin-fill aquifers,101,0.18444981273,0.00112240744,
3115,Semiconsolidated sand aquifers,200,Texas coastal uplands aquifer system,202,24.6307815055,8.70498943132,
3036,,999,Other rocks,999,0.0892385281,0.00049470262,
3786,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02294120156,3.698169e-05,
3189,,999,Other rocks,999,0.18007880157,0.00160498783,
3203,,999,Other rocks,999,0.23607643198,0.00257239521,
3218,,999,Other rocks,999,0.10696178306,0.00076503471,
3532,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.02571478249,4.621017e-05,
3544,Carbonate-rock aquifers,400,Floridan aquifer system,413,0.02526909734,3.725862e-05,
3545,Semiconsolidated sand aquifers,200,Coastal lowlands aquifer system,201,0.02575630783,4.34146e-05,
3401,Carbonate-rock aquifers,400,Basin and Range carbonate-rock aquifers,401,0.1692566089,0.00200328744,
